Date,Open,High,Low,Close,Volume,Adj Close
2016-12-28,7.05,7.07,6.89,6.93,13902800,6.93
2016-12-27,7.10,7.13,6.99,7.04,12090500,7.04
2016-12-26,7.07,7.13,6.95,7.12,13646800,7.12
2016-12-23,7.21,7.28,7.09,7.12,25481700,7.12
2016-12-22,7.12,7.43,7.07,7.26,37240500,7.26
2016-12-21,6.98,7.13,6.95,7.06,20282900,7.06
2016-12-20,7.00,7.02,6.90,6.98,16496200,6.98
2016-12-19,6.93,7.27,6.80,7.08,41113200,7.08
2016-12-16,7.10,7.35,6.90,6.94,42702100,6.94
2016-12-15,6.66,6.75,6.64,6.68,7988200,6.68
2016-12-14,6.80,6.80,6.65,6.67,10239900,6.67
2016-12-13,6.77,6.82,6.66,6.80,11194700,6.80
2016-12-12,7.28,7.31,6.59,6.79,24263500,6.79
2016-12-09,7.29,7.34,7.27,7.28,6888900,7.28
2016-12-08,7.33,7.35,7.28,7.29,7217700,7.29
2016-12-07,7.31,7.35,7.27,7.34,6518900,7.34
2016-12-06,7.33,7.34,7.28,7.29,7145300,7.29
2016-12-05,7.35,7.46,7.27,7.30,17069500,7.30
2016-12-02,7.46,7.47,7.36,7.37,11666400,7.37
2016-12-01,7.40,7.54,7.40,7.48,12801000,7.48
2016-11-30,7.47,7.50,7.39,7.41,12482400,7.41
2016-11-29,7.47,7.58,7.44,7.50,15242500,7.50
2016-11-28,7.50,7.53,7.44,7.48,11782800,7.48
2016-11-25,7.57,7.59,7.34,7.50,14901200,7.50
2016-11-24,7.56,7.60,7.54,7.57,13809300,7.57
2016-11-23,7.55,7.64,7.53,7.55,17209500,7.55
2016-11-22,7.54,7.57,7.50,7.55,12815000,7.55
2016-11-21,7.50,7.58,7.48,7.55,9950600,7.55
2016-11-18,7.55,7.55,7.51,7.52,9171400,7.52
2016-11-17,7.57,7.60,7.50,7.55,10169200,7.55
2016-11-16,7.61,7.62,7.55,7.58,10738300,7.58
2016-11-15,7.53,7.60,7.51,7.60,17830600,7.60
2016-11-14,7.51,7.56,7.46,7.53,19322800,7.53
2016-11-11,7.45,7.51,7.40,7.49,17284800,7.49
2016-11-10,7.41,7.47,7.38,7.46,22473900,7.46
2016-11-09,7.50,7.52,7.31,7.40,36424500,7.40
2016-11-08,7.51,7.73,7.50,7.57,20014500,7.57
2016-11-07,7.55,7.57,7.46,7.50,11724400,7.50
2016-11-04,7.55,7.63,7.51,7.54,10916100,7.54
2016-11-03,7.53,7.59,7.50,7.55,10553100,7.55
2016-11-02,7.63,7.63,7.52,7.53,11310900,7.53
2016-11-01,7.63,7.65,7.54,7.63,10675500,7.63
2016-10-31,7.77,7.77,7.50,7.62,17725900,7.62
2016-10-28,7.78,7.85,7.75,7.78,7716400,7.78
2016-10-27,7.80,7.85,7.76,7.80,7291700,7.80
2016-10-26,7.85,7.88,7.76,7.78,11586300,7.78
2016-10-25,7.81,8.00,7.78,7.88,17112100,7.88
2016-10-24,7.76,7.83,7.68,7.81,12495300,7.81
2016-10-21,7.82,7.87,7.68,7.76,11559300,7.76
2016-10-20,7.84,7.94,7.83,7.85,10237800,7.85
2016-10-19,7.97,7.97,7.84,7.88,21560200,7.88
2016-10-18,7.60,8.25,7.60,8.00,39894300,8.00
2016-10-17,7.71,7.77,7.57,7.62,10900300,7.62
2016-10-14,7.70,7.77,7.63,7.74,9640200,7.74
2016-10-13,7.80,7.80,7.66,7.73,9958300,7.73
2016-10-12,7.81,7.82,7.77,7.80,6450300,7.80
2016-10-11,7.85,7.88,7.78,7.86,10791600,7.86
2016-10-10,7.65,7.88,7.60,7.86,18187500,7.86
2016-10-07,7.59,7.59,7.59,7.59,000,7.59
2016-10-06,7.59,7.59,7.59,7.59,000,7.59
2016-10-05,7.59,7.59,7.59,7.59,000,7.59
2016-10-04,7.59,7.59,7.59,7.59,000,7.59
2016-10-03,7.59,7.59,7.59,7.59,000,7.59
2016-09-30,7.55,7.63,7.51,7.59,5658500,7.59
2016-09-29,7.58,7.68,7.53,7.57,10730400,7.57
2016-09-28,7.61,7.61,7.50,7.55,6898400,7.55
2016-09-27,7.56,7.64,7.43,7.59,15360300,7.59
2016-09-26,7.75,7.76,7.54,7.56,15859400,7.56
2016-09-23,7.90,7.90,7.75,7.79,12296600,7.79
2016-09-22,7.92,7.95,7.80,7.89,12583700,7.89
2016-09-21,7.83,7.93,7.80,7.87,7432100,7.87
2016-09-20,7.91,7.93,7.80,7.84,8335000,7.84
2016-09-19,7.86,7.93,7.83,7.90,9501000,7.90
2016-09-16,7.86,7.86,7.86,7.86,000,7.86
2016-09-15,7.86,7.86,7.86,7.86,000,7.86
2016-09-14,7.90,7.90,7.75,7.86,19020600,7.86
2016-09-13,7.98,8.06,7.80,7.91,21667600,7.91
2016-09-12,8.11,8.22,7.89,7.94,51143900,7.94
2016-09-09,8.57,8.90,8.41,8.44,68264400,8.44
2016-09-08,8.24,8.51,8.13,8.44,38131400,8.44
2016-09-07,8.38,8.60,8.22,8.24,43207700,8.24
2016-09-06,7.80,8.30,7.78,8.22,38447900,8.22
2016-09-05,7.73,7.86,7.71,7.80,11375000,7.80
2016-09-02,8.00,8.03,7.69,7.78,24022200,7.78
2016-09-01,8.07,8.12,7.96,7.98,13056100,7.98
2016-08-31,8.15,8.15,8.03,8.08,9690000,8.08
2016-08-30,8.05,8.15,8.04,8.12,10933400,8.12
2016-08-29,8.10,8.16,8.02,8.10,10789400,8.10
2016-08-26,8.15,8.29,8.08,8.10,17087700,8.10
2016-08-25,8.14,8.17,8.02,8.15,14875000,8.15
2016-08-24,8.17,8.19,8.05,8.11,14279000,8.11
2016-08-23,8.22,8.27,8.09,8.14,13908700,8.14
2016-08-22,8.41,8.50,8.17,8.18,20374300,8.18
2016-08-19,8.42,8.51,8.33,8.41,17341200,8.41
2016-08-18,8.52,8.63,8.38,8.41,32242500,8.41
2016-08-17,8.35,8.78,8.32,8.57,53603100,8.57
2016-08-16,8.26,8.38,8.18,8.34,32715000,8.34
2016-08-15,8.23,8.32,8.10,8.27,36231400,8.27
2016-08-12,8.05,8.33,8.05,8.22,51275400,8.22
2016-08-11,7.89,8.04,7.87,7.96,27370200,7.96
2016-08-10,7.99,8.01,7.89,7.91,14647400,7.91
2016-08-09,7.95,8.07,7.89,7.96,19147500,7.96
2016-08-08,7.91,7.97,7.73,7.95,15923800,7.95
2016-08-05,8.04,8.13,7.92,7.95,27523300,7.95
2016-08-04,7.90,8.06,7.80,8.04,34471900,8.04
2016-08-03,7.77,7.94,7.71,7.89,23865800,7.89
2016-08-02,7.64,7.76,7.61,7.70,11197100,7.70
2016-08-01,7.71,7.71,7.49,7.64,21776000,7.64
2016-07-29,7.93,8.04,7.74,7.80,24366400,7.80
2016-07-28,7.69,8.09,7.54,7.93,42404400,7.93
2016-07-27,7.97,8.12,7.40,7.66,35856200,7.66
2016-07-26,7.90,8.03,7.88,8.01,21551500,8.01
2016-07-25,8.24,8.24,7.82,7.91,53257900,7.91
2016-07-22,8.55,8.56,8.04,8.24,59662000,8.24
2016-07-21,8.48,8.57,8.35,8.53,31135400,8.53
2016-07-20,8.59,8.66,8.46,8.48,27266000,8.48
2016-07-19,8.62,8.72,8.53,8.63,21992600,8.63
2016-07-18,8.60,8.75,8.45,8.67,32689600,8.67
2016-07-15,8.69,8.73,8.51,8.57,27066600,8.57
2016-07-14,8.73,8.82,8.59,8.69,31798900,8.69
